mes,Calificación
2020-01-01,3.7301587301587302
2020-02-01,3.6511627906976742
2020-03-01,4.298701298701299
2020-04-01,4.196078431372549
2020-05-01,4.277777777777778
2020-06-01,3.890909090909091
2020-07-01,3.935483870967742
2020-08-01,4.087719298245614
2020-09-01,4.059701492537314
2020-10-01,4.0
2020-11-01,4.166666666666667
2020-12-01,4.090909090909091
2021-01-01,4.309859154929577
2021-02-01,3.9
2021-03-01,3.901639344262295
2021-04-01,4.2615384615384615
2021-05-01,4.17741935483871
2021-06-01,3.8214285714285716
2021-07-01,3.9393939393939394
2021-08-01,3.847457627118644
2021-09-01,4.114285714285714
2021-10-01,3.706896551724138
2021-11-01,4.065573770491803
2021-12-01,3.8375
2022-01-01,4.0
2022-02-01,4.2
2022-03-01,4.3
2022-04-01,4.1525423728813555
2022-05-01,3.9838709677419355
2022-06-01,4.0
2022-07-01,3.9038461538461537
2022-08-01,3.9473684210526314
2022-09-01,4.373134328358209
2022-10-01,4.151515151515151
2022-11-01,4.181818181818182
2022-12-01,3.923076923076923
2023-01-01,4.0181818181818185
2023-02-01,3.8970588235294117
2023-03-01,3.971014492753623
