mes,Calificación
2020-01-01,4.271428571428571
2020-02-01,4.338709677419355
2020-03-01,3.8208955223880596
2020-04-01,4.184615384615385
2020-05-01,4.254545454545455
2020-06-01,3.673469387755102
2020-07-01,4.0
2020-08-01,4.0576923076923075
2020-09-01,4.456140350877193
2020-10-01,4.22
2020-11-01,3.9318181818181817
2020-12-01,4.180327868852459
2021-01-01,4.15
2021-02-01,3.72
2021-03-01,3.8135593220338984
2021-04-01,3.9074074074074074
2021-05-01,4.061224489795919
2021-06-01,3.8
2021-07-01,3.9838709677419355
2021-08-01,3.8289473684210527
2021-09-01,4.0
2021-10-01,3.9714285714285715
2021-11-01,4.025
2021-12-01,3.8607594936708862
2022-01-01,4.21875
2022-02-01,4.298245614035087
2022-03-01,4.203389830508475
2022-04-01,4.224137931034483
2022-05-01,3.7857142857142856
2022-06-01,4.304347826086956
2022-07-01,3.967741935483871
2022-08-01,4.125
2022-09-01,4.072463768115942
2022-10-01,3.912280701754386
2022-11-01,4.19672131147541
2022-12-01,3.78125
2023-01-01,4.327868852459017
2023-02-01,4.044444444444444
2023-03-01,3.888888888888889
