semana,Ventas_Millones
2019-12-30,2.3834
2020-01-06,4.2563
2020-01-13,3.9982
2020-01-20,4.3808
2020-01-27,4.5585
2020-02-03,4.616
2020-02-10,5.7441
2020-02-17,9.0985
2020-02-24,4.9322
2020-03-02,2.0018
2020-03-09,11.2185
2020-03-16,7.5039
2020-03-23,5.1894
2020-03-30,3.9176
2020-04-06,6.3004
2020-04-13,10.3469
2020-04-20,12.1679
2020-04-27,11.2433
2020-05-04,4.6549
2020-05-11,7.2711
2020-05-18,8.1366
2020-05-25,8.276
2020-06-01,4.7614
2020-06-08,6.6332
2020-06-15,7.0961
2020-06-22,7.9937
2020-06-29,2.2322
2020-07-06,7.9821
2020-07-13,5.6715
2020-07-20,9.4514
2020-07-27,5.0349
2020-08-03,6.127
2020-08-10,9.0507
2020-08-17,4.6531
2020-08-24,7.5859
2020-08-31,5.7543
2020-09-07,9.2694
2020-09-14,3.3123
2020-09-21,6.5143
2020-09-28,6.0014
2020-10-05,0.6818
2020-10-12,2.2274
2020-10-19,5.2883
2020-10-26,7.5961
2020-11-02,6.4219
2020-11-09,9.4619
2020-11-16,10.8351
2020-11-23,4.6523
2020-11-30,9.1933
2020-12-07,6.1857
2020-12-14,3.9635
2020-12-21,5.5449
2020-12-28,4.7169
2021-01-04,3.4536
2021-01-11,4.6842
2021-01-18,6.9198
2021-01-25,5.2251
2021-02-01,4.7641
2021-02-08,11.3932
2021-02-15,12.8263
2021-02-22,2.0141
2021-03-01,8.3089
2021-03-08,16.5965
2021-03-15,4.1821
2021-03-22,6.9401
2021-03-29,3.0279
2021-04-05,8.154
2021-04-12,11.8355
2021-04-19,11.6956
2021-04-26,7.4434
2021-05-03,3.9213
2021-05-10,4.7609
2021-05-17,3.9496
2021-05-24,7.6346
2021-05-31,2.4393
2021-06-07,3.4245
2021-06-14,4.7228
2021-06-21,4.387
2021-06-28,2.5335
2021-07-05,8.7192
2021-07-12,8.9651
2021-07-19,7.3425
2021-07-26,14.3326
2021-08-02,2.5481
2021-08-09,1.3581
2021-08-16,8.4306
2021-08-23,6.8198
2021-08-30,3.2536
2021-09-06,8.8945
2021-09-13,5.7045
2021-09-20,7.5987
2021-09-27,8.2838
2021-10-04,4.6748
2021-10-11,4.0774
2021-10-18,9.9889
2021-10-25,7.7699
2021-11-01,5.196
2021-11-08,4.5599
2021-11-15,10.4939
2021-11-22,3.9659
2021-11-29,5.0025
2021-12-06,12.3434
2021-12-13,3.8269
2021-12-20,8.4357
2021-12-27,6.4131
2022-01-03,5.1428
2022-01-10,9.2531
2022-01-17,8.4949
2022-01-24,7.4441
2022-01-31,6.2405
2022-02-07,11.2507
2022-02-14,6.5064
2022-02-21,10.7654
2022-02-28,6.8278
2022-03-07,6.0134
2022-03-14,3.5847
2022-03-21,10.9258
2022-03-28,4.0285
2022-04-04,3.1246
2022-04-11,3.3036
2022-04-18,3.4429
2022-04-25,12.4226
2022-05-02,4.9869
2022-05-09,6.4883
2022-05-16,6.6986
2022-05-23,1.0062
2022-05-30,3.9159
2022-06-06,5.8188
2022-06-13,5.7471
2022-06-20,5.5424
2022-06-27,3.2745
2022-07-04,3.7175
2022-07-11,4.184
2022-07-18,2.6068
2022-07-25,2.6792
2022-08-01,1.42
2022-08-08,9.8323
2022-08-15,7.7251
2022-08-22,5.2722
2022-08-29,4.7681
2022-09-05,4.3268
2022-09-12,4.0139
2022-09-19,13.6478
2022-09-26,7.1016
2022-10-03,4.5987
2022-10-10,6.156
2022-10-17,4.5725
2022-10-24,2.4555
2022-10-31,8.6104
2022-11-07,4.5912
2022-11-14,5.7091
2022-11-21,5.7493
2022-11-28,5.8635
2022-12-05,5.2243
2022-12-12,3.0106
2022-12-19,5.1793
2022-12-26,5.337
2023-01-02,5.5701
2023-01-09,7.731
2023-01-16,3.9916
2023-01-23,1.8926
2023-01-30,3.142
2023-02-06,5.1076
2023-02-13,3.5137
2023-02-20,7.879
2023-02-27,4.1781
2023-03-06,3.4712
2023-03-13,5.2827
2023-03-20,4.3822
2023-03-27,1.3031
