mes,Calificación
2020-01-01,3.8309859154929575
2020-02-01,3.6451612903225805
2020-03-01,3.887323943661972
2020-04-01,4.0
2020-05-01,3.7580645161290325
2020-06-01,3.75
2020-07-01,4.209677419354839
2020-08-01,4.148148148148148
2020-09-01,3.9846153846153847
2020-10-01,3.7555555555555555
2020-11-01,3.943396226415094
2020-12-01,4.242424242424242
2021-01-01,3.912280701754386
2021-02-01,3.6615384615384614
2021-03-01,3.8360655737704916
2021-04-01,3.8035714285714284
2021-05-01,3.9074074074074074
2021-06-01,4.233333333333333
2021-07-01,4.078125
2021-08-01,4.0625
2021-09-01,4.025
2021-10-01,3.694915254237288
2021-11-01,4.052631578947368
2021-12-01,4.225806451612903
2022-01-01,4.189655172413793
2022-02-01,4.15
2022-03-01,4.017857142857143
2022-04-01,4.264705882352941
2022-05-01,3.857142857142857
2022-06-01,3.982142857142857
2022-07-01,3.9836065573770494
2022-08-01,4.120689655172414
2022-09-01,4.420289855072464
2022-10-01,3.46
2022-11-01,3.7457627118644066
2022-12-01,4.112903225806452
2023-01-01,3.8333333333333335
2023-02-01,4.049180327868853
2023-03-01,3.9740259740259742
